Name,State/Tribe,NGCCcapFactor,TotalGeneration,Demand2030,TotalNuclear,TotalHydro,TotalBiomass,TotalSolar,TotalWind,TotalGeothermal,TotalCoal,CoalCO2Mass,CoalCO2Rate,TotalNGCC,NGCCCO2Mass,NGCCCO2Rate,RateGoals,MassGoals,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL,0.526210207,152982744.4,168983287,40841212.01,7435222.94,3605535.22,0,0,0,54087101.57,55626389.91,2056.91887,45548713.96,20025930.97,879.3192707,1018.066561,56880473.95,,,,,,,,,,,,,,,,,,,,,,
Arkansas,AR,0.267812796,64934645.58,71726193.02,15493131,2244031.97,1942373.32,0,0,0,28083856,32108696.01,2286.630156,15651185.02,7015577.4,896.4915297,1130.174626,30322631.9,,,,,,,,,,,,,,,,,,,,,,
Arizona,AZ,0.254642253,110552569.6,122115318.8,31933916.01,6796379.01,182020,937060.96,250398,0,40245563,44532086.57,2213.018442,28144725,12647850.07,898.7723326,1030.767341,30170749.98,,,,,,,,,,,,,,,,,,,,,,
California,CA,0.450278445,196441260.1,216987150.9,18507408,27566091.06,5444404.32,946651.99,9654329.02,12518909.92,8316296,1270049.22,305.4362711,86880322.84,40048047.09,921.9129437,827.9598441,48410119.36,,,,,,,,,,,,,,,,,,,,,,
Colorado,CO,0.305080599,52585936.87,58085926.62,0,1498875.03,36383.48,163193.22,5884426.99,0,35610615.22,38878295.19,2183.522804,7448179.03,3444159.96,924.8327534,1174.014362,29900396.15,,,,,,,,,,,,,,,,,,,,,,
Connecticut,CT,0.499283056,35475889.74,39186331,17077887,314857.02,1259368,0,0,0,103669,156930.68,3027.5334,15385325.54,6236535.96,810.7122522,785.8833286,6941522.284,,,,,,,,,,,,,,,,,,,,,,
Delaware,DE,0.495252458,8581027.58,9478521.597,0,0,0,22559,3638,0,1412833,1503148.3,2127.84993,5179269.98,2536173.1,979.3554342,916.1894575,4711824.313,,,,,,,,,,,,,,,,,,,,,,
Florida,FL,0.373268303,222156621.3,245392094.7,22992149.32,150510.99,5465586.4,105278,0,0,48104266.94,52316745.83,2175.139511,132925653.8,61037297.93,918.3674661,918.9313874,105094703.4,,,,,,,,,,,,,,,,,,,,,,
Lands of the Fort Mojave Tribe,Fort Mojave,0.370435796,89739822.76,99125756.23,0,2361782.02,247601.22,0,0,0,84041394.06,92319355.37,2196.997239,0,0,0,771,588518.7524,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA,0.45026908,122644480.2,135471928.4,33941634,2236201.99,3093036.69,1547,0,0,48490518,54647424.84,2253.942713,25651756,10734246.35,836.9209773,1049.063946,46346845.55,,,,,,,,,,,,,,,,,,,,,,
Iowa,IA,0.126326476,56444510.76,62348070.7,4346995,766190.96,0,0,13954247.03,0,31427585,39503120.64,2513.913852,3390551.04,642726.54,379.1280724,1283.017978,25018135.61,,,,,,,,,,,,,,,,,,,,,,
Idaho,ID,0.459584729,15465553.64,17083103.72,0,10940404.79,567032.52,0,1890559.02,74676,0,0,0,1214659,506599.54,834.142817,771,1492855.461,,,,,,,,,,,,,,,,,,,,,,
Illinois,IL,0.247402492,196754858.5,217333548.7,96401309,113626.98,201800,15080,7683448,0,75911719.98,87321569.94,2300.60839,7870423,3719026.23,945.0638752,1245.336613,66477156.3,,,,,,,,,,,,,,,,,,,,,,
Indiana,IN,0.411808301,114354998.5,126315445.7,0,433504.99,58442.12,0,3210104,0,93521615.07,100533541.1,2149.953057,12839309.01,6115550.96,952.6292973,1242.201581,76113834.19,,,,,,,,,,,,,,,,,,,,,,
Kansas,KS,0.370435796,44096519.43,48708596.71,8284924,10398.99,0,0,5057240,0,28014520,33109674.34,2363.750965,0,0,0,1293.249577,21990825.38,,,,,,,,,,,,,,,,,,,,,,
Kentucky,KY,0.370435796,89739822.76,99125756.23,0,2361782.02,247601.22,0,0,0,84041394.06,92319355.37,2196.997239,0,0,0,1286.120687,63126120.65,,,,,,,,,,,,,,,,,,,,,,
Louisiana,LA,0.32582417,102999990.5,113772811.6,15659132,679944,2638576.23,0,0,0,26399799,29849380.62,2261.333931,16260301.38,7166642.84,881.4895459,1121.413184,35427022.34,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,MA,0.297310766,36350328.29,40152227.52,5859540,906227.05,2571476.18,28702.42,88030,0,3004172.24,2459081.72,1637.111007,23719104.57,10606394.78,894.3334896,824.2942165,12104746.25,,,,,,,,,,,,,,,,,,,,,,
Maryland,MD,0.267242077,37661240.91,41600249.15,13579266,1656538.97,624755.04,20964,321687,0,14631698.12,15682043.44,2143.571212,676555.6,329880.85,975.1773542,1286.814802,14347627.14,,,,,,,,,,,,,,,,,,,,,,
Maine,ME,0.301284641,14394678.47,15900225.17,0,3603846.8,3258447.72,0,878457,0,8692661,0,0,4053378,1717805.56,847.5920874,778.6698358,2073941.911,,,,,,,,,,,,,,,,,,,,,,
Michigan,MI,0.396931046,108585232.5,119942216.9,28019714,1214853.94,1925309.01,0,1131688,0,63152466.95,60257025.72,1908.303147,19810461.62,9636938.31,972.9140587,1168.71123,47544063.39,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN,0.155557105,53775725.73,59400156.09,11943790,545340.96,1729783.4,0,7607848.99,0,22224849,25804065.01,2322.091368,3601409,4328591.92,2403.832456,1213.354825,22678367.61,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO,0.220111571,91857421.76,101464836,10718329,851822.02,0,0,1249655,0,80453494.99,76042366.37,1890.343394,4712054.08,2061640.76,875.0497023,1271.642623,55462883.8,,,,,,,,,,,,,,,,,,,,,,
Mississippi,MS,0.358931272,54565642.69,60272690.87,7296134,0,1237189.41,0,0,0,5797340.31,7219403.47,2490.591576,32906681.98,15286363.35,929.0735152,945.1440599,25304336.94,,,,,,,,,,,,,,,,,,,,,,
Montana,MT,0.370435796,27771460.36,30676091.45,0,11283465.09,0,0,1251866.87,165348,14447406,17924535.11,2481.349954,0,0,0,1305,11303106.72,,,,,,,,,,,,,,,,,,,,,,
Lands of the Navajo Nation,Navajo,0.370435796,89739822.76,99125756.23,0,2361782.02,247601.22,0,0,0,84041394.06,92319355.37,2196.997239,0,0,0,1305,21700586.46,,,,,,,,,,,,,,,,,,,,,,
North Carolina,NC,0.368826508,116475933.9,128658210.7,39385592,3719322.99,2509070.14,110364,0,0,40987093.99,52017145.65,2538.220722,17043410.06,7822619.07,917.9640744,1135.587628,51266233.44,,,,,,,,,,,,,,,,,,,,,,
North Dakota,ND,0.370435796,36124929.85,39903254.54,0,2477230,5543,0,5274509,0,28186691,33370886.25,2367.847028,0,0,0,1305,20883231.05,,,,,,,,,,,,,,,,,,,,,,
Nebraska,NE,0.111927719,34690139.29,38318398.51,5817276,1256905,0,0,1267152,0,26224360,27036261.35,2061.919631,423638,232381.57,1097.076136,1295.995217,18272738.01,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,NH,0.505676613,19248572.47,21261790.4,8189181,1289379.01,1326125,0,208699,0,1186136,1396022.58,2353.899688,6946868.99,3048206.99,877.5772206,858.1012289,3997578.995,,,,,,,,,,,,,,,,,,,,,,
New Jersey,NJ,0.30749703,65085945.61,71893317.59,33110224,10755,1229499,272524.57,11568,0,17059011,3183527.95,373.2371062,25164655.64,11952765.38,949.9645496,811.6735592,16599744.21,,,,,,,,,,,,,,,,,,,,,,
New Mexico,NM,0.435018963,36593186.17,40420486.03,0,222819,0,333724.91,2225788,0,25095372,27780792.46,2214.017187,5730957.01,2600159.91,907.4086249,1146.375641,12412601.16,,,,,,,,,,,,,,,,,,,,,,
Nevada,NV,0.499900172,34705176.87,38335008.88,0,2440415,0,323752,128788,2309052,4133662.04,4701206.7,2274.596546,24937896.96,11284983.92,905.0469603,854.5846436,13523583.37,,,,,,,,,,,,,,,,,,,,,,
New York,NY,0.332728828,135220453.4,149363229.1,40774560,24563754.1,2180016.24,52713,2974614.7,0,7180905.25,4626318.38,1288.505618,43444380.72,21777210.66,1002.532908,917.5865721,31257428.06,,,,,,,,,,,,,,,,,,,,,,
Ohio,OH,0.687956075,129402553,142936831.5,17086998,414161.01,142429,32324,978972,0,86371972.85,91711929.75,2123.650224,17854300.99,7732578.59,866.186651,1190.443688,73769805.41,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OK,0.385020178,77894205.17,86041199.5,0,1145513.97,449162,0,8020367,0,41614549,35130624.17,1688.381829,27723717.2,21995517.26,1586.765375,1068.234915,40488198.77,,,,,,,,,,,,,,,,,,,,,,
Oregon,OR,0.393455439,60446162.85,66768257.61,0,39407148.9,849314.86,5827,6035761,16241.01,13794257,2745242.59,398.0268876,11424291.03,4914693.52,860.3936134,871.2448214,8118653.323,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,0.560549841,223467509.8,246840089.7,75174408,2241920.04,2573931.49,28193,2128658,0,77532445,92866705.66,2395.557258,52790332.95,22560731.74,854.7296628,1095.180151,89822307.06,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,RI,0.345370638,8197968.85,9055398.56,0,4266,0,0,1380,0,0,0,0,8140017.28,3735785.5,917.8814667,771,3522224.472,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SC,0.50553149,96599582.29,106702981.5,50395878.97,1197931.99,1922126.53,0,0,0,24803503.01,30582195.36,2465.95776,12955217.55,6093709.78,940.734458,1155.672626,25998967.42,,,,,,,,,,,,,,,,,,,,,,
South Dakota,SD,0.370435796,12017647.02,13274578.8,0,5964481.02,0,0,2914666,0,2830363,3169636.08,2239.73821,0,0,0,1166.606285,3539480.631,,,,,,,,,,,,,,,,,,,,,,
Tennessee,TN,0.26181484,77711414.78,85839290.97,25102101,8295659.98,754038.13,0,47492,0,16552555,38178134.76,4612.959723,3729945.95,1687190.73,904.6730181,1211.107902,28348395.66,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,0.420276137,428614747.1,473443780.4,38441017,584474.43,1293876.86,115216,31994898.99,0,120890446,155207456.2,2567.737341,146049618.9,72765997.8,996.4558394,1041.520733,189588841.1,,,,,,,,,,,,,,,,,,,,,,
Lands of the Uintah and Ouray Reservation,UTE,0.370435796,89739822.76,99125756.23,0,2361782.02,247601.22,0,0,0,84041394.06,92319355.37,2196.997239,0,0,0,1305,2263430.531,,,,,,,,,,,,,,,,,,,,,,
Utah,UT,0.444091319,39323902.72,43436809.6,0,747785.99,9429.37,1619,703911,334638,30422573,31615035.61,2078.393278,5447362,2409060.27,884.4869388,1178.906765,23778192.81,,,,,,,,,,,,,,,,,,,,,,
Virginia,VA,0.480934627,71818993.65,79330578.54,28723390,1043567.96,2281984.68,0,0,0,15347262.95,16416814.3,2139.380078,20672976.92,9549957.17,923.9073025,934.4973962,27433110.84,,,,,,,,,,,,,,,,,,,,,,
Washington,WA,0.249796741,116823120.6,129041709.9,9333709,89506516.07,1789306.2,0,6599510,0,3735730,4542415.37,2431.875628,5665045,2817768.02,994.7910458,983.2037619,10739171.94,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,WI,0.330646856,63333590.96,69957683.29,14300013.5,1454372.02,1334131.85,0,1557578,0,19865584,39420211.56,3968.693954,10244272.94,4335785.5,846.4798869,1175.994332,27986987.84,,,,,,,,,,,,,,,,,,,,,,
West Virginia,WV,0.370435796,73422125.85,81101383.14,0,1431440.02,0,0,1286024,0,62537083.85,72322934.16,2312.961517,0,0,0,1305,51325341.33,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,0.370435796,49586513.19,54772791.7,0,893469.97,0,0,4369106.97,0,42924125.02,63332813.89,2950.919273,0,0,0,1299.054325,31634411.81,,,,,,,,,,,,,,,,,,,,,,
